sample_name	alpha_lcmsms_richness	alpha_lcmsms_shannon	read_count_shotgun_wolr2pe	alpha_shotgun_richness	alpha_shotgun_shannon	alpha_shotgun_faithspd	read_count_16s_deblur	alpha_16S_richness	alpha_16S_shannon	alpha_16S_faithspd	dna_conc	biomass	extraction_protocol_storage_solution	extraction_protocol	storage_solution	sample_type	sample_type1	sample_type2	sample_type3	sample_type4	unique_sample_id	unique_sample_id_tech_rep	pseudosample_id	sample_name_mantel_solution	sample_name_mantel_protocol	bacteria	bacteria_function	buffer_removal	col	collection_timestamp	compressed_well	description	diet	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	extraction_kit	extraction_vendor	genomic_spike_amount_in_ng	genomic_spike_in	genomic_spike_in_copy_number	genomic_spike_in_description	genomic_spike_in_ng_per_ul	genomic_spike_in_replicate	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	katseq_number_of_cells	latitude	locationcell	longitude	lysis_buffer_volume	metagenomic_spike_in	metagenomic_spike_in_amount_ng_per_ul	metagenomic_spike_in_copy_number	metagenomic_spike_in_replicate	physical_specimen_location	physical_specimen_remaining	plate_id	plate_id_number	plate_biomass	processing_date	qiita_study_id	replicate	rna_conc	round	row	sample_technical_replicate	scientific_name	sex	swab_type	taxon_id	title	vivarium	water
14332.361164174	80	4.518174225790395	348067	2106	7.71925904572632	221.4609700524443	2800	138	6.628253447067393	6597.773351849472	0.74	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_floor	surface_swab_floor	IPA-Matrix_surface_swab_floor	surface_swab_floor_bayd	surface_swab_floor_bayd	Plate 4 LBM_surface_swab_floor_bayd_isopropanol_Matrix	LBM_surface_swab_floor_bayd_6	LBM_surface_swab_floor_bayd_6	NA	NA	dry	10	2022-03-25	P10	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	bayd	NA	NA	not provided	NA	32.5	H10	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	6	NA	1_2	P	6	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164175	100	4.747448350429415	900710	552	4.2075899613138565	76.679516991774	951	48	4.904551177835045	3412.406151550653	0.737	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_keyboard	surface_swab_keyboard	IPA-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayg	surface_swab_keyboard_pc_bayg	Plate 4 LBM_surface_swab_keyboard_pc_bayg_isopropanol_Matrix	LBM_surface_swab_keyboard_pc_bayg_4	LBM_surface_swab_keyboard_pc_bayg_4	NA	NA	dry	11	2022-03-25	J11	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayg	NA	NA	not provided	NA	32.5	E11	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	4	NA	1_2	J	4	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164178	106	5.220907339361824	288444	2115	8.267515155887978	222.4597989422547	1436	120	6.535048352434692	4977.797643767451	0.743	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_floor	surface_swab_floor	IPA-Matrix_surface_swab_floor	surface_swab_floor_room1247	surface_swab_floor_room1247	Plate 4 LBM_surface_swab_floor_room1247_isopropanol_Matrix	LBM_surface_swab_floor_room1247_4	LBM_surface_swab_floor_room1247_4	NA	NA	dry	9	2022-03-25	H9	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	room1247	NA	NA	not provided	NA	32.5	D9	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	4	NA	1_2	H	4	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164183	83	3.001423843801533	28697	NA	NA	NA	266	NA	NA	NA	0.75	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_keyboard	surface_swab_keyboard	IPA-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayd	surface_swab_keyboard_pc_bayd	Plate 4 LBM_surface_swab_keyboard_pc_bayd_isopropanol_Matrix	LBM_surface_swab_keyboard_pc_bayd_4	LBM_surface_swab_keyboard_pc_bayd_4	NA	NA	dry	12	2022-03-25	L12	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayd	NA	NA	not provided	NA	32.5	F12	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	4	NA	1_2	L	4	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164184	109	4.1798157462771295	205960	803	3.9382429266803936	100.683775058924	518	35	4.463283986657013	2714.473870195741	0.741	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_keyboard	surface_swab_keyboard	EtOH-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayg	surface_swab_keyboard_pc_bayg	Plate 4 LBM_surface_swab_keyboard_pc_bayg_etoh_Matrix	LBM_surface_swab_keyboard_pc_bayg_4	LBM_surface_swab_keyboard_pc_bayg_1	NA	NA	dry	11	2022-03-25	B11	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	true	2760000	syndna plasmids	0.006	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayg	NA	NA	not provided	NA	32.5	A11	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	1	NA	1_2	B	1	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164186	128	5.210070308563033	19817	NA	NA	NA	4170	136	6.673714497799224	6402.710874813904	0.742	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_floor	surface_swab_floor	EtOH-Matrix_surface_swab_floor	surface_swab_floor_room1247	surface_swab_floor_room1247	Plate 4 LBM_surface_swab_floor_room1247_etoh_Matrix	LBM_surface_swab_floor_room1247_6	LBM_surface_swab_floor_room1247_3	NA	NA	dry	9	2022-03-25	F9	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	room1247	NA	NA	not provided	NA	32.5	C9	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	3	NA	1_2	F	3	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164187	76	4.223130287165827	4507	NA	NA	NA	1070	36	3.3269749597685943	2750.706546380086	0.749	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_keyboard	surface_swab_keyboard	IPA-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayd	surface_swab_keyboard_pc_bayd	Plate 4 LBM_surface_swab_keyboard_pc_bayd_isopropanol_Matrix	LBM_surface_swab_keyboard_pc_bayd_5	LBM_surface_swab_keyboard_pc_bayd_5	NA	NA	dry	12	2022-03-25	N12	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayd	NA	NA	not provided	NA	32.5	G12	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	5	NA	1_2	N	5	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164188	121	4.775884797598814	48145	NA	NA	NA	213	NA	NA	NA	0.732	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_keyboard	surface_swab_keyboard	EtOH-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayd	surface_swab_keyboard_pc_bayd	Plate 4 LBM_surface_swab_keyboard_pc_bayd_etoh_Matrix	LBM_surface_swab_keyboard_pc_bayd_4	LBM_surface_swab_keyboard_pc_bayd_1	NA	NA	dry	12	2022-03-25	B12	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	true	2760000	syndna plasmids	0.006	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayd	NA	NA	not provided	NA	32.5	A12	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	1	NA	1_2	B	1	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164190	103	4.735406401372211	4817	NA	NA	NA	462	41	4.883093054293028	2893.835995689644	0.75	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_keyboard	surface_swab_keyboard	EtOH-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayd	surface_swab_keyboard_pc_bayd	Plate 4 LBM_surface_swab_keyboard_pc_bayd_etoh_Matrix	LBM_surface_swab_keyboard_pc_bayd_5	LBM_surface_swab_keyboard_pc_bayd_2	NA	NA	dry	12	2022-03-25	F12	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayd	NA	NA	not provided	NA	32.5	C12	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	2	NA	1_2	F	2	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164196	94	4.785524352090023	270900	2283	8.049384951396986	245.7758610332119	2451	120	6.496212733713938	6214.560251730788	0.74	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_floor	surface_swab_floor	IPA-Matrix_surface_swab_floor	surface_swab_floor_bayd	surface_swab_floor_bayd	Plate 4 LBM_surface_swab_floor_bayd_isopropanol_Matrix	LBM_surface_swab_floor_bayd_4	LBM_surface_swab_floor_bayd_4	NA	NA	dry	10	2022-03-25	L10	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	bayd	NA	NA	not provided	NA	32.5	F10	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	4	NA	1_2	L	4	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164197	114	4.450630526534334	530115	2463	8.028762196564019	265.5457449904009	1310	111	6.470996357490941	5809.406348487383	0.739	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_floor	surface_swab_floor	EtOH-Matrix_surface_swab_floor	surface_swab_floor_bayd	surface_swab_floor_bayd	Plate 4 LBM_surface_swab_floor_bayd_etoh_Matrix	LBM_surface_swab_floor_bayd_4	LBM_surface_swab_floor_bayd_1	NA	NA	dry	10	2022-03-25	B10	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	true	5510000	syndna plasmids	0.013	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	bayd	NA	NA	not provided	NA	32.5	A10	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	1	NA	1_2	B	1	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164198	108	4.170274200076312	1020838	746	3.39779458991664	93.95898695607082	379	41	4.153012595113443	3410.444449045541	0.736	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_keyboard	surface_swab_keyboard	EtOH-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayg	surface_swab_keyboard_pc_bayg	Plate 4 LBM_surface_swab_keyboard_pc_bayg_etoh_Matrix	LBM_surface_swab_keyboard_pc_bayg_6	LBM_surface_swab_keyboard_pc_bayg_3	NA	NA	dry	11	2022-03-25	H11	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayg	NA	NA	not provided	NA	32.5	D11	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	3	NA	1_2	H	3	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164199	135	4.5671647203621895	1354074	NA	NA	NA	4688	NA	NA	NA	0.754	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_keyboard	surface_swab_keyboard	EtOH-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayg	surface_swab_keyboard_pc_bayg	Plate 4 LBM_surface_swab_keyboard_pc_bayg_etoh_Matrix	LBM_surface_swab_keyboard_pc_bayg_5	LBM_surface_swab_keyboard_pc_bayg_2	NA	NA	dry	11	2022-03-25	D11	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	2.1	NA	NA	syndna plasmids	NA	1	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayg	NA	NA	not provided	NA	32.5	B11	-117.25	600ul	TRUE	0.02	16100000	1	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	2	NA	1_2	D	2	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
